Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     
handle_alias,alias_string@0x0:0x6ec	        1105	        1185	     0.93249	          71	          80	     0.88750
handle_alias,option_count@0x0:0x6fc	         464	        1185	     0.39156	          27	          80	     0.33750
handle_alias,child       @0x0:0x719	         351	         351	     1.00000	          26	          26	     1.00000
handle_alias,nongit_ok   @0x0:0x729	         351	         351	     1.00000	          26	          26	     1.00000
cmd_main    ,argc        @0x0:0x2bc	         709	         709	     1.00000	          81	          81	     1.00000
cmd_main    ,argv        @0x0:0x2cb	         709	         709	     1.00000	          81	          81	     1.00000
cmd_main    ,cmd         @0x0:0x2da	         709	         709	     1.00000	          81	          81	     1.00000
cmd_main    ,done_help   @0x0:0x2e9	         677	         709	     0.95487	          73	          81	     0.90123
cmd_main    ,slash       @0x0:0x306	          18	          31	     0.58065	           2	           3	     0.66667
cmd_main    ,was_alias   @0x0:0x324	         132	         151	     0.87417	          13	          14	     0.92857
handle_optio,argv        @0x0:0x427	        3336	        3351	     0.99552	         197	         199	     0.98995
handle_optio,argc        @0x0:0x436	        3332	        3351	     0.99433	         197	         199	     0.98995
handle_optio,envchanged  @0x0:0x445	        3328	        3351	     0.99314	         197	         199	     0.98995
handle_optio,orig_argv   @0x0:0x454	        3321	        3351	     0.99105	         196	         199	     0.98492
handle_optio,cmd         @0x0:0x470	        3272	        3272	     1.00000	         193	         193	     1.00000
handle_optio,cwd         @0x0:0x48b	          88	         103	     0.85437	           7	           8	     0.87500
handle_optio,list        @0x0:0x4a8	         163	         163	     1.00000	           8	           8	     1.00000
handle_optio,i           @0x0:0x4b7	         113	         163	     0.69325	           4	           8	     0.50000
strbuf_addst,sb          @0x0:0x636	          54	          54	     1.00000	           3	           3	     1.00000
strbuf_addst,s           @0x0:0x645	          54	          54	     1.00000	           3	           3	     1.00000
is_builtin  ,s           @0x0:0x198	          27	          27	     1.00000	           2	           2	     1.00000
git_find_las,path        @0x0:0x350	          16	          16	     1.00000	           2	           2	     1.00000

params	       22719	       23593	     0.96296	        1551	        1641	     0.94516
vars	       29127	       34377	     0.84728	        2045	        2447	     0.83572
all	       51846	       57970	     0.89436	        3596	        4088	     0.87965
