Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     
git_find_last_dir_sep, path, decl git-compat-util.h:536, unit git.c	          16	          16	     1.00000	           2	           2	     1.00000
execv_dashed_external, argv, decl git.c:725, unit git.c	         367	         367	     1.00000	          18	          19	     0.94737
execv_dashed_external, cmd, decl git.c:727, unit git.c	         367	         367	     1.00000	          19	          19	     1.00000
execv_dashed_external, status, decl git.c:728, unit git.c	          25	         367	     0.06812	           3	          19	     0.15789
exclude_helpers_from_list, list, decl git.c:45, unit git.c	          98	         109	     0.89908	           4	           6	     0.66667
exclude_helpers_from_list, i, decl git.c:47, unit git.c	          88	         109	     0.80734	           4	           6	     0.66667
handle_builtin, argc, decl git.c:693, unit git.c	         232	         244	     0.95082	          15	          17	     0.88235
handle_builtin, argv, decl git.c:693, unit git.c	         234	         244	     0.95902	          16	          17	     0.94118
handle_builtin, args, decl git.c:695, unit git.c	         244	         244	     1.00000	          17	          17	     1.00000
handle_builtin, cmd, decl git.c:696, unit git.c	         194	         244	     0.79508	          14	          17	     0.82353
handle_builtin, builtin, decl git.c:697, unit git.c	          28	         244	     0.11475	           3	          17	     0.17647
handle_builtin, i, decl git.c:704, unit git.c	          68	          94	     0.72340	           4	           8	     0.50000
setup_auto_pager, cmd, decl git.c:125, unit git.c	          55	          60	     0.91667	           4	           6	     0.66667
setup_auto_pager, def, decl git.c:125, unit git.c	          55	          60	     0.91667	           4	           6	     0.66667
st_mult, a, decl git-compat-util.h:990, unit git.c	          43	          43	     1.00000	           3	           4	     0.75000
st_mult, b, decl git-compat-util.h:990, unit git.c	          37	          43	     0.86047	           3	           4	     0.75000
skip_prefix, str, decl git-compat-util.h:674, unit git.c	          52	          52	     1.00000	           4	           5	     0.80000
skip_prefix, prefix, decl git-compat-util.h:674, unit git.c	          52	          52	     1.00000	           4	           5	     0.80000
skip_prefix, out, decl git-compat-util.h:675, unit git.c	          52	          52	     1.00000	           4	           5	     0.80000
gitstrchrnul, s, decl git-compat-util.h:959, unit git.c	          36	          36	     1.00000	           3	           4	     0.75000
gitstrchrnul, c, decl git-compat-util.h:959, unit git.c	          36	          36	     1.00000	           3	           4	     0.75000
match_token, spec, decl git.c:57, unit git.c	          69	          69	     1.00000	           2	           3	     0.66667
match_token, len, decl git.c:57, unit git.c	          69	          69	     1.00000	           3	           3	     1.00000
match_token, token, decl git.c:57, unit git.c	          69	          69	     1.00000	           2	           3	     0.66667
match_token, token_len, decl git.c:59, unit git.c	          20	          69	     0.28986	           1	           3	     0.33333
_, msgid, decl gettext.h:44, unit git.c	          25	          25	     1.00000	           3	           4	     0.75000
move_array, dst, decl git-compat-util.h:1104, unit git.c	          44	          45	     0.97778	           2	           4	     0.50000
move_array, src, decl git-compat-util.h:1104, unit git.c	          44	          45	     0.97778	           2	           4	     0.50000
move_array, n, decl git-compat-util.h:1104, unit git.c	          44	          45	     0.97778	           2	           4	     0.50000
move_array, size, decl git-compat-util.h:1104, unit git.c	          45	          45	     1.00000	           3	           4	     0.75000
copy_array, dst, decl git-compat-util.h:1096, unit git.c	          44	          45	     0.97778	           2	           4	     0.50000
copy_array, src, decl git-compat-util.h:1096, unit git.c	          44	          45	     0.97778	           2	           4	     0.50000
copy_array, n, decl git-compat-util.h:1096, unit git.c	          44	          45	     0.97778	           2	           4	     0.50000
copy_array, size, decl git-compat-util.h:1096, unit git.c	          45	          45	     1.00000	           3	           4	     0.75000

params	       15112	       16740	     0.90275	         811	         900	     0.90111
vars	       16332	       25498	     0.64052	         885	        1337	     0.66193
all	       31444	       42238	     0.74445	        1696	        2237	     0.75816
