Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     

trace_pass_f,key         @0x0:0x2634	          17	          33	     0.51515	           1	           2	     0.50000
handle_alias,argcp       @0x0:0x2291	         722	         901	     0.80133	          37	          46	     0.80435
handle_alias,argv        @0x0:0x22a1	         901	         901	     1.00000	          46	          46	     1.00000
handle_alias,envchanged  @0x0:0x22b1	         515	         901	     0.57159	          27	          46	     0.58696
handle_alias,ret         @0x0:0x22c1	         835	         901	     0.92675	          45	          46	     0.97826
handle_alias,saved_errno @0x0:0x22d1	         734	         901	     0.81465	          37	          46	     0.80435
handle_alias,alias_comman@0x0:0x22e1	         590	         901	     0.65483	          32	          46	     0.69565
handle_alias,alias_string@0x0:0x22f1	         288	         901	     0.31964	          14	          46	     0.30435
handle_alias,new_argv    @0x0:0x2301	         320	         901	     0.35516	          17	          46	     0.36957
handle_alias,count       @0x0:0x2311	         100	         901	     0.11099	           9	          46	     0.19565
handle_alias,option_count@0x0:0x2321	          48	         901	     0.05327	           3	          46	     0.06522
handle_alias,child       @0x0:0x2336	         285	         285	     1.00000	          15	          15	     1.00000
handle_alias,nongit_ok   @0x0:0x2346	         213	         285	     0.74737	          14	          15	     0.93333
load_builtin,prefix      @0x0:0x31b	         156	         168	     0.92857	           7	           7	     1.00000
load_builtin,cmds        @0x0:0x32b	         168	         168	     1.00000	           7	           7	     1.00000
load_builtin,i           @0x0:0x33b	          51	         168	     0.30357	           3	           7	     0.42857
load_builtin,name        @0x0:0x34b	          43	         168	     0.25595	           2	           7	     0.28571
get_builtin ,s           @0x0:0x2ca	          92	          92	     1.00000	           4	           4	     1.00000
get_builtin ,i           @0x0:0x2da	          35	          92	     0.38043	           2	           4	     0.50000
get_builtin ,p           @0x0:0x2f7	           0	          18	     0.00000	           0	           1	     0.00000
run_builtin ,p           @0x0:0xeb3	         690	         690	     1.00000	          40	          40	     1.00000
run_builtin ,argc        @0x0:0xec3	         690	         690	     1.00000	          40	          40	     1.00000
