Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     

trace_pass_fl, key, decl trace.h:273, unit git.c	          17	          33	     0.51515	           1	           2	     0.50000
handle_alias, argcp, decl git.c:337, unit git.c	         922	         922	     1.00000	          45	          46	     0.97826
handle_alias, argv, decl git.c:337, unit git.c	         769	         922	     0.83406	          40	          46	     0.86957
handle_alias, envchanged, decl git.c:339, unit git.c	         504	         922	     0.54664	          27	          46	     0.58696
handle_alias, ret, decl git.c:339, unit git.c	         865	         922	     0.93818	          45	          46	     0.97826
handle_alias, saved_errno, decl git.c:339, unit git.c	         877	         922	     0.95119	          44	          46	     0.95652
handle_alias, alias_command, decl git.c:342, unit git.c	         875	         922	     0.94902	          43	          46	     0.93478
handle_alias, alias_string, decl git.c:343, unit git.c	         275	         922	     0.29826	          16	          46	     0.34783
handle_alias, new_argv, decl git.c:341, unit git.c	         341	         922	     0.36985	          17	          46	     0.36957
handle_alias, count, decl git.c:340, unit git.c	         292	         922	     0.31670	          16	          46	     0.34783
handle_alias, option_count, decl git.c:340, unit git.c	          48	         922	     0.05206	           3	          46	     0.06522
handle_alias, child, decl git.c:352, unit git.c	         280	         280	     1.00000	          15	          15	     1.00000
handle_alias, nongit_ok, decl git.c:353, unit git.c	         216	         280	     0.77143	          14	          15	     0.93333
load_builtin_commands, prefix, decl git.c:662, unit git.c	         156	         168	     0.92857	           7	           7	     1.00000
load_builtin_commands, cmds, decl git.c:662, unit git.c	         168	         168	     1.00000	           6	           7	     0.85714
load_builtin_commands, i, decl git.c:665, unit git.c	          51	         168	     0.30357	           3	           7	     0.42857
load_builtin_commands, name, decl git.c:664, unit git.c	          43	         168	     0.25595	           2	           7	     0.28571
run_builtin, p, decl git.c:420, unit git.c	         669	         669	     1.00000	          38	          39	     0.97436
run_builtin, argc, decl git.c:420, unit git.c	         669	         669	     1.00000	          38	          39	     0.97436
run_builtin, argv, decl git.c:420, unit git.c	         669	         669	     1.00000	          38	          39	     0.97436
run_builtin, st, decl git.c:423, unit git.c	         669	         669	     1.00000	          39	          39	     1.00000
run_builtin, run_setup, decl git.c:425, unit git.c	         438	         669	     0.65471	          26	          39	     0.66667
run_builtin, help, decl git.c:422, unit git.c	          10	         669	     0.01495	           2	          39	     0.05128
run_builtin, prefix, decl git.c:424, unit git.c	          50	         669	     0.07474	           1	          39	     0.02564
run_builtin, status, decl git.c:422, unit git.c	         195	         669	     0.29148	          11	          39	     0.28205
run_builtin, nongit_ok, decl git.c:435, unit git.c	           5	           5	     1.00000	           1	           1	     1.00000
cmd_main, argc, decl git.c:864, unit git.c	         390	         611	     0.63830	          25	          35	     0.71429
cmd_main, argv, decl git.c:864, unit git.c	         566	         611	     0.92635	          34	          35	     0.97143
cmd_main, done_help, decl git.c:867, unit git.c	         434	         611	     0.71031	          27	          35	     0.77143
cmd_main, cmd, decl git.c:866, unit git.c	         568	         611	     0.92962	          34	          35	     0.97143
cmd_main, slash, decl git.c:873, unit git.c	           9	          26	     0.34615	           2	           3	     0.66667
cmd_main, was_alias, decl git.c:926, unit git.c	          79	         133	     0.59398	           4	           7	     0.57143
run_argv, argcp, decl git.c:771, unit git.c	         759	         759	     1.00000	          34	          35	     0.97143
run_argv, argv, decl git.c:771, unit git.c	         759	         759	     1.00000	          34	          35	     0.97143
run_argv, cmd_list, decl git.c:774, unit git.c	         759	         759	     1.00000	          35	          35	     1.00000
run_argv, done_alias, decl git.c:773, unit git.c	         388	         759	     0.51120	          20	          35	     0.57143
run_argv, seen, decl git.c:775, unit git.c	         204	         759	     0.26877	          10	          35	     0.28571
run_argv, cmd, decl git.c:790, unit git.c	         350	         350	     1.00000	          15	          15	     1.00000
run_argv, i, decl git.c:791, unit git.c	         124	         350	     0.35429	           5	          15	     0.33333
