Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     

handle_optio,argv        @0x0:0x412	        3287	        3287	     1.00000	         171	         171	     1.00000
handle_optio,argc        @0x0:0x420	        3287	        3287	     1.00000	         171	         171	     1.00000
handle_optio,envchanged  @0x0:0x42e	        3287	        3287	     1.00000	         171	         171	     1.00000
handle_optio,orig_argv   @0x0:0x43c	        3287	        3287	     1.00000	         171	         171	     1.00000
handle_optio,cmd         @0x0:0x457	        3208	        3208	     1.00000	         167	         167	     1.00000
handle_optio,cwd         @0x0:0x472	          95	          95	     1.00000	           8	           8	     1.00000
handle_optio,list        @0x0:0x48e	         141	         141	     1.00000	           6	           6	     1.00000
handle_optio,i           @0x0:0x49e	         141	         141	     1.00000	           6	           6	     1.00000
handle_alias,argcp       @0x0:0x651	        1084	        1084	     1.00000	          52	          52	     1.00000
handle_alias,argv        @0x0:0x660	        1084	        1084	     1.00000	          52	          52	     1.00000
handle_alias,envchanged  @0x0:0x66f	        1084	        1084	     1.00000	          52	          52	     1.00000
handle_alias,ret         @0x0:0x67e	        1084	        1084	     1.00000	          52	          52	     1.00000
handle_alias,saved_errno @0x0:0x68d	        1084	        1084	     1.00000	          52	          52	     1.00000
handle_alias,count       @0x0:0x69c	        1084	        1084	     1.00000	          52	          52	     1.00000
handle_alias,option_count@0x0:0x6ab	        1084	        1084	     1.00000	          52	          52	     1.00000
handle_alias,new_argv    @0x0:0x6ba	        1084	        1084	     1.00000	          52	          52	     1.00000
handle_alias,alias_comman@0x0:0x6c9	        1084	        1084	     1.00000	          52	          52	     1.00000
handle_alias,alias_string@0x0:0x6d8	        1084	        1084	     1.00000	          52	          52	     1.00000
handle_alias,child       @0x0:0x6f4	         334	         334	     1.00000	          18	          18	     1.00000
handle_alias,nongit_ok   @0x0:0x704	         334	         334	     1.00000	          18	          18	     1.00000
run_builtin ,p           @0x0:0x9aa	         969	         969	     1.00000	          48	          48	     1.00000
