Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     
handle_optio,argv        @0x0:0x6bb	        2270	        2270	     1.00000	         199	         199	     1.00000
handle_optio,argc        @0x0:0x6ca	        2270	        2270	     1.00000	         198	         199	     0.99497
handle_optio,envchanged  @0x0:0x6d9	        2270	        2270	     1.00000	         199	         199	     1.00000
handle_optio,orig_argv   @0x0:0x6e8	        2243	        2270	     0.98811	         196	         199	     0.98492
handle_optio,cmd         @0x0:0x6fc	        1832	        2182	     0.83960	         170	         193	     0.88083
handle_optio,list        @0x0:0x718	         116	         116	     1.00000	           8	           8	     1.00000
handle_optio,i           @0x0:0x728	          51	         116	     0.43966	           2	           8	     0.25000
handle_optio,cwd         @0x0:0x746	          45	          53	     0.84906	           4	           5	     0.80000
move_array  ,dst         @0x0:0x2f01	          45	          45	     1.00000	           4	           4	     1.00000
move_array  ,src         @0x0:0x2f11	          45	          45	     1.00000	           4	           4	     1.00000
move_array  ,n           @0x0:0x2f21	          45	          45	     1.00000	           4	           4	     1.00000
move_array  ,size        @0x0:0x2f31	          45	          45	     1.00000	           4	           4	     1.00000
copy_array  ,dst         @0x0:0x2fc4	          45	          45	     1.00000	           4	           4	     1.00000
copy_array  ,src         @0x0:0x2fd4	          45	          45	     1.00000	           4	           4	     1.00000
copy_array  ,n           @0x0:0x2fe4	          45	          45	     1.00000	           4	           4	     1.00000
copy_array  ,size        @0x0:0x2ff4	          45	          45	     1.00000	           4	           4	     1.00000
skip_prefix ,str         @0x0:0x3e2	          52	          52	     1.00000	           9	           9	     1.00000
skip_prefix ,prefix      @0x0:0x3f2	          52	          52	     1.00000	           9	           9	     1.00000
skip_prefix ,out         @0x0:0x400	          52	          52	     1.00000	           9	           9	     1.00000
setup_auto_p,cmd         @0x0:0x1a8	          60	          60	     1.00000	           8	           8	     1.00000
setup_auto_p,def         @0x0:0x1b7	          60	          60	     1.00000	           7	           8	     0.87500
st_mult     ,a           @0x0:0x2f66	          43	          43	     1.00000	           5	           5	     1.00000
st_mult     ,b           @0x0:0x2f73	          43	          43	     1.00000	           5	           5	     1.00000
strbuf_addst,sb          @0x0:0x27e1	          40	          40	     1.00000	           3	           3	     1.00000
strbuf_addst,s           @0x0:0x27f1	          40	          40	     1.00000	           3	           3	     1.00000
gitstrchrnul,s           @0x0:0x2d35	          36	          36	     1.00000	           4	           4	     1.00000
gitstrchrnul,c           @0x0:0x2d45	          36	          36	     1.00000	           4	           4	     1.00000
_           ,msgid       @0x0:0xcf0	          25	          25	     1.00000	           5	           5	     1.00000
is_builtin  ,s           @0x0:0x28a	          21	          21	     1.00000	           2	           2	     1.00000
git_find_las,path        @0x0:0x684	          16	          16	     1.00000	           2	           2	     1.00000

params	       16178	       16740	     0.96643	        1516	        1641	     0.92383
vars	       16480	       25498	     0.64633	        1548	        2428	     0.63756
all	       32658	       42238	     0.77319	        3064	        4069	     0.75301
