Variant,Name,CL / SL
"Clang 14, O0","run_builtin ,st          @0x0:0xa16",1
"Clang 14, O0","run_builtin ,status      @0x0:0xa56",1
"Clang 14, O0","setup_auto_p,cmd         @0x0:0x14a",1
"Clang 14, O0","setup_auto_p,def         @0x0:0x159",1
"Clang 14, O0","skip_prefix ,out         @0x0:0x291",1
"Clang 14, O0","skip_prefix ,prefix      @0x0:0x281",1
"Clang 14, O0","skip_prefix ,str         @0x0:0x271",1
"Clang 14, O0","st_mult     ,a           @0x0:0x7ac",1
"Clang 14, O0","st_mult     ,b           @0x0:0x7bc",1
"Clang 14, O0","strbuf_addst,s           @0x0:0x645",1
"Clang 14, O0","strbuf_addst,sb          @0x0:0x636",1
"Clang 14, O0","trace_pass_f,key         @0x0:0x5c8",1
"Clang 14, O0 + mem2reg","_           ,msgid       @0x0:0x3fe",0.8
"Clang 14, O0 + mem2reg","cmd_main    ,argc        @0x0:0x2bc",1
"Clang 14, O0 + mem2reg","cmd_main    ,argv        @0x0:0x2cb",1
"Clang 14, O0 + mem2reg","cmd_main    ,cmd         @0x0:0x2da",1
"Clang 14, O0 + mem2reg","cmd_main    ,done_help   @0x0:0x2e9",0.97619
"Clang 14, O0 + mem2reg","cmd_main    ,slash       @0x0:0x306",0.66667
"Clang 14, O0 + mem2reg","cmd_main    ,was_alias   @0x0:0x324",0.90909
"Clang 14, O0 + mem2reg","copy_array  ,dst         @0x0:0x7e3",0.75
"Clang 14, O0 + mem2reg","copy_array  ,n           @0x0:0x803",0.75
"Clang 14, O0 + mem2reg","copy_array  ,size        @0x0:0x813",0.75
"Clang 14, O0 + mem2reg","copy_array  ,src         @0x0:0x7f3",0.75
"Clang 14, O0 + mem2reg","exclude_help,i           @0x0:0x9bc",0.83333
"Clang 14, O0 + mem2reg","exclude_help,list        @0x0:0x9ad",0.83333
"Clang 14, O0 + mem2reg","execv_dashed,argv        @0x0:0x5ef",0.95238
"Clang 14, O0 + mem2reg","execv_dashed,cmd         @0x0:0x5ff",1
"Clang 14, O0 + mem2reg","execv_dashed,status      @0x0:0x60f",0.2381
"Clang 14, O0 + mem2reg","get_builtin ,i           @0x0:0x1d3",0.875
"Clang 14, O0 + mem2reg","get_builtin ,p           @0x0:0x1f0",0.75
