Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     

get_builtin ,s           @0x0:0x2ca	          88	          92	     0.95652	           3	           4	     0.75000
get_builtin ,i           @0x0:0x2da	           0	          92	     0.00000	           0	           4	     0.00000
get_builtin ,p           @0x0:0x2f3	           0	          24	     0.00000	           0	           1	     0.00000
handle_alias,argcp       @0x0:0x2285	         722	         901	     0.80133	          36	          46	     0.78261
handle_alias,argv        @0x0:0x2295	         768	         901	     0.85239	          39	          46	     0.84783
handle_alias,envchanged  @0x0:0x22a5	         515	         901	     0.57159	          27	          46	     0.58696
handle_alias,ret         @0x0:0x22b5	         835	         901	     0.92675	          45	          46	     0.97826
handle_alias,saved_errno @0x0:0x22c5	         734	         901	     0.81465	          37	          46	     0.80435
handle_alias,alias_comman@0x0:0x22d5	         590	         901	     0.65483	          32	          46	     0.69565
handle_alias,alias_string@0x0:0x22e5	         288	         901	     0.31964	          14	          46	     0.30435
handle_alias,new_argv    @0x0:0x22f5	         320	         901	     0.35516	          17	          46	     0.36957
handle_alias,count       @0x0:0x2305	         100	         901	     0.11099	           9	          46	     0.19565
handle_alias,option_count@0x0:0x2315	          48	         901	     0.05327	           5	          46	     0.10870
handle_alias,child       @0x0:0x232a	         285	         285	     1.00000	          15	          15	     1.00000
handle_alias,nongit_ok   @0x0:0x233a	         213	         285	     0.74737	          14	          15	     0.93333
trace_pass_f,key         @0x0:0x2628	          17	          33	     0.51515	           1	           2	     0.50000
load_builtin,prefix      @0x0:0x317	         156	         168	     0.92857	           7	           7	     1.00000
load_builtin,cmds        @0x0:0x327	         168	         168	     1.00000	           6	           7	     0.85714
load_builtin,i           @0x0:0x337	           0	         168	     0.00000	           0	           7	     0.00000
load_builtin,name        @0x0:0x343	          43	         168	     0.25595	           2	           7	     0.28571
run_builtin ,p           @0x0:0xea7	         684	         690	     0.99130	          39	          40	     0.97500
run_builtin ,argc        @0x0:0xeb7	         690	         690	     1.00000	          39	          40	     0.97500
run_builtin ,argv        @0x0:0xec7	          72	         690	     0.10435	           2	          40	     0.05000
run_builtin ,st          @0x0:0xed7	         690	         690	     1.00000	          40	          40	     1.00000
run_builtin ,run_setup   @0x0:0xee7	         459	         690	     0.66522	          27	          40	     0.67500
run_builtin ,help        @0x0:0xef7	         301	         690	     0.43623	          21	          40	     0.52500
run_builtin ,prefix      @0x0:0xf07	         552	         690	     0.80000	          32	          40	     0.80000
run_builtin ,status      @0x0:0xf17	          52	         690	     0.07536	           3	          40	     0.07500
run_builtin ,nongit_ok   @0x0:0xf34	           5	           5	     1.00000	           1	           1	     1.00000
cmd_main    ,argc        @0x0:0x4cf	         390	         635	     0.61417	          25	          36	     0.69444
cmd_main    ,argv        @0x0:0x4df	         449	         635	     0.70709	          29	          36	     0.80556
cmd_main    ,done_help   @0x0:0x4ef	         579	         635	     0.91181	          35	          36	     0.97222
cmd_main    ,cmd         @0x0:0x4ff	         563	         635	     0.88661	          32	          36	     0.88889
cmd_main    ,slash       @0x0:0x51c	           9	          16	     0.56250	           2	           3	     0.66667
cmd_main    ,was_alias   @0x0:0x532	          61	         121	     0.50413	           5	           8	     0.62500
run_argv    ,argcp       @0x0:0xa82	         615	         762	     0.80709	          28	          35	     0.80000
run_argv    ,argv        @0x0:0xa92	         610	         762	     0.80052	          28	          35	     0.80000
run_argv    ,cmd_list    @0x0:0xaa2	         762	         762	     1.00000	          35	          35	     1.00000
run_argv    ,done_alias  @0x0:0xab2	         388	         762	     0.50919	          20	          35	     0.57143
run_argv    ,seen        @0x0:0xac2	         207	         762	     0.27165	          10	          35	     0.28571
run_argv    ,cmd         @0x0:0xad7	         350	         350	     1.00000	          15	          15	     1.00000
