Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     

get_builtin ,s           @0x0:0x2ca	          88	          92	     0.95652	           8	           9	     0.88889
get_builtin ,i           @0x0:0x2da	           0	          92	     0.00000	           0	           9	     0.00000
get_builtin ,p           @0x0:0x2f3	           0	          24	     0.00000	           0	           1	     0.00000
trace_pass_f,key         @0x0:0x2628	          17	          33	     0.51515	           1	           2	     0.50000
load_builtin,prefix      @0x0:0x317	         156	         168	     0.92857	           7	          17	     0.41176
load_builtin,cmds        @0x0:0x327	         168	         168	     1.00000	           8	          17	     0.47059
load_builtin,i           @0x0:0x337	           0	         168	     0.00000	           0	          17	     0.00000
load_builtin,name        @0x0:0x343	          43	         168	     0.25595	           2	          17	     0.11765
handle_alias,argcp       @0x0:0x2285	         722	         901	     0.80133	          80	          80	     1.00000
handle_alias,argv        @0x0:0x2295	         768	         901	     0.85239	          80	          80	     1.00000
handle_alias,envchanged  @0x0:0x22a5	         515	         901	     0.57159	          45	          80	     0.56250
handle_alias,ret         @0x0:0x22b5	         835	         901	     0.92675	          75	          80	     0.93750
handle_alias,saved_errno @0x0:0x22c5	         734	         901	     0.81465	          72	          80	     0.90000
handle_alias,alias_comman@0x0:0x22d5	         590	         901	     0.65483	          46	          80	     0.57500
handle_alias,alias_string@0x0:0x22e5	         288	         901	     0.31964	          36	          80	     0.45000
handle_alias,new_argv    @0x0:0x22f5	         320	         901	     0.35516	          24	          80	     0.30000
handle_alias,count       @0x0:0x2305	         100	         901	     0.11099	          11	          80	     0.13750
handle_alias,option_count@0x0:0x2315	          48	         901	     0.05327	           5	          80	     0.06250
handle_alias,child       @0x0:0x232a	         285	         285	     1.00000	          24	          24	     1.00000
handle_alias,nongit_ok   @0x0:0x233a	         213	         285	     0.74737	          20	          24	     0.83333
run_builtin ,p           @0x0:0xea7	         684	         690	     0.99130	          64	          67	     0.95522
run_builtin ,argc        @0x0:0xeb7	         690	         690	     1.00000	          66	          67	     0.98507
run_builtin ,argv        @0x0:0xec7	          72	         690	     0.10435	           7	          67	     0.10448
run_builtin ,st          @0x0:0xed7	         690	         690	     1.00000	          67	          67	     1.00000
run_builtin ,run_setup   @0x0:0xee7	         459	         690	     0.66522	          37	          67	     0.55224
run_builtin ,help        @0x0:0xef7	         301	         690	     0.43623	          33	          67	     0.49254
run_builtin ,prefix      @0x0:0xf07	         552	         690	     0.80000	          48	          67	     0.71642
run_builtin ,status      @0x0:0xf17	          52	         690	     0.07536	           7	          67	     0.10448
run_builtin ,nongit_ok   @0x0:0xf34	           5	           5	     1.00000	           1	           1	     1.00000
list_cmds   ,spec        @0x0:0x1eb8	         473	         526	     0.89924	          41	          44	     0.93182
list_cmds   ,list        @0x0:0x1ec7	         526	         526	     1.00000	          44	          44	     1.00000
list_cmds   ,nongit      @0x0:0x1ed6	         483	         526	     0.91825	          35	          44	     0.79545
list_cmds   ,i           @0x0:0x1ee5	          39	         526	     0.07414	           2	          44	     0.04545
list_cmds   ,len         @0x0:0x1ef9	         357	         371	     0.96226	          23	          26	     0.88462
list_cmds   ,sep         @0x0:0x1f08	           3	         371	     0.00809	           1	          26	     0.03846
list_cmds   ,sb          @0x0:0x1f24	          66	          66	     1.00000	           5	           5	     1.00000
run_argv    ,argcp       @0x0:0xa82	         615	         762	     0.80709	          89	          90	     0.98889
run_argv    ,argv        @0x0:0xa92	         610	         762	     0.80052	          89	          90	     0.98889
run_argv    ,cmd_list    @0x0:0xaa2	         762	         762	     1.00000	          90	          90	     1.00000
run_argv    ,done_alias  @0x0:0xab2	         388	         762	     0.50919	          76	          90	     0.84444
run_argv    ,seen        @0x0:0xac2	         207	         762	     0.27165	          17	          90	     0.18889
run_argv    ,cmd         @0x0:0xad7	         350	         350	     1.00000	          35	          35	     1.00000
run_argv    ,i           @0x0:0xae7	         116	         350	     0.33143	           5	          35	     0.14286
run_argv    ,sb          @0x0:0xafd	         180	         180	     1.00000	          12	          12	     1.00000
run_argv    ,i           @0x0:0xb0d	         116	         180	     0.64444	           7	          12	     0.58333
run_argv    ,item        @0x0:0xb22	           0	          87	     0.00000	           0	           6	     0.00000
execv_dashed,argv        @0x0:0x212b	         367	         367	     1.00000	          44	          44	     1.00000
execv_dashed,cmd         @0x0:0x213b	         367	         367	     1.00000	          44	          44	     1.00000
execv_dashed,status      @0x0:0x214b	          25	         367	     0.06812	           3	          44	     0.06818
list_builtin,out         @0x0:0x1e48	          80	          80	     1.00000	           8	           9	     0.88889
list_builtin,exclude_opti@0x0:0x1e58	          80	          80	     1.00000	           8	           9	     0.88889
list_builtin,i           @0x0:0x1e68	           9	          80	     0.11250	           0	           9	     0.00000
