Name	Instance	Cov (B)     	Scope (B)   	Cov (L)     	Scope (L)   	Flt Cov (L) 	Src Scope (L)

foo, blah, decl example.c:1	example.c	          64	          74	           3	           4	           3	           6
foo, bob, decl example.c:2	example.c	          30	          74	           2	           4	           1	           4

