Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     
list_builtins, out, decl git.c:651, unit git.c	         116	         128	     0.90625	           6	           7	     0.85714
list_builtins, exclude_option, decl git.c:651, unit git.c	         113	         128	     0.88281	           6	           7	     0.85714
list_builtins, i, decl git.c:653, unit git.c	         101	         128	     0.78906	           6	           7	     0.85714
match_token, spec, decl git.c:57, unit git.c	          58	          96	     0.60417	           2	           3	     0.66667
match_token, len, decl git.c:57, unit git.c	          96	          96	     1.00000	           3	           3	     1.00000
match_token, token, decl git.c:57, unit git.c	          51	          96	     0.53125	           2	           3	     0.66667
match_token, token_len, decl git.c:59, unit git.c	          53	          96	     0.55208	           1	           3	     0.33333
skip_prefix, str, decl git-compat-util.h:674, unit git.c	         101	         114	     0.88596	           7	           8	     0.87500
skip_prefix, prefix, decl git-compat-util.h:674, unit git.c	         101	         114	     0.88596	           7	           8	     0.87500
skip_prefix, out, decl git-compat-util.h:675, unit git.c	         106	         114	     0.92982	           7	           8	     0.87500
move_array, dst, decl git-compat-util.h:1104, unit git.c	          60	          72	     0.83333	           3	           4	     0.75000
move_array, src, decl git-compat-util.h:1104, unit git.c	          56	          72	     0.77778	           3	           4	     0.75000
move_array, n, decl git-compat-util.h:1104, unit git.c	          52	          72	     0.72222	           3	           4	     0.75000
move_array, size, decl git-compat-util.h:1104, unit git.c	          48	          72	     0.66667	           3	           4	     0.75000
copy_array, dst, decl git-compat-util.h:1096, unit git.c	          60	          72	     0.83333	           3	           4	     0.75000
copy_array, src, decl git-compat-util.h:1096, unit git.c	          56	          72	     0.77778	           3	           4	     0.75000
copy_array, n, decl git-compat-util.h:1096, unit git.c	          52	          72	     0.72222	           3	           4	     0.75000
copy_array, size, decl git-compat-util.h:1096, unit git.c	          48	          72	     0.66667	           3	           4	     0.75000
get_builtin, s, decl git.c:635, unit git.c	         105	         117	     0.89744	           7	           8	     0.87500
get_builtin, i, decl git.c:637, unit git.c	          93	         117	     0.79487	           7	           8	     0.87500
get_builtin, p, decl git.c:639, unit git.c	          22	          46	     0.47826	           3	           4	     0.75000
exclude_helpers_from_list, list, decl git.c:45, unit git.c	         111	         123	     0.90244	           5	           6	     0.83333
